"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","GetVideoGameById – Response is valid XML when Accept: application/xml","","Sun Mar 08 16:05:59 UTC 2026","passed","Sun Mar 08 16:05:59 UTC 2026","","GetVideoGameById - Check possibility to get a single video game","com.ai.tester.getVideoGameById.GetVideoGameByIdComponentTest","getVideoGameByIdXmlResponseTest"
"","286","DeleteVideoGame – DB record is absent from GET all games list after deletion","","Sun Mar 08 16:05:58 UTC 2026","passed","Sun Mar 08 16:05:58 UTC 2026","","DeleteVideoGame – Check possibility to delete a game by ID","com.ai.tester.deleteVideoGame.DeleteVideoGameComponentTest","deletedVideoGameAbsentFromGetAllGamesTest"
"","193","GetAllGames – Response is valid XML when Accept: application/xml","","Sun Mar 08 16:05:58 UTC 2026","passed","Sun Mar 08 16:05:59 UTC 2026","","GetAllGames - Check possibility to get all games","com.ai.tester.getAllGames.GetAllGamesComponentTest","getAllVideoGamesXmlResponseTest"
"","101","GetVideoGameById – Successful response returns HTTP 200","","Sun Mar 08 16:05:59 UTC 2026","passed","Sun Mar 08 16:05:59 UTC 2026","","GetVideoGameById - Check possibility to get a single video game","com.ai.tester.getVideoGameById.GetVideoGameByIdComponentTest","getVideoGameByIdPositiveTest"
"","2552","DeleteVideoGame – Happy path delete existing game returns 200 and success JSON body","","Sun Mar 08 16:05:55 UTC 2026","passed","Sun Mar 08 16:05:58 UTC 2026","","DeleteVideoGame – Check possibility to delete a game by ID","com.ai.tester.deleteVideoGame.DeleteVideoGameComponentTest","deleteExistingVideoGamePositiveTest"
"","143","DeleteEvenGames – Even ID games are deleted and odd ID games remain in database","","Sun Mar 08 16:05:58 UTC 2026","passed","Sun Mar 08 16:05:58 UTC 2026","","DeleteEvenGames - Delete all even games from database","com.ai.tester.deleteEvenGames.DeleteEvenVideoGamesComponentTest","deleteEvenVideoGamesPositiveTest"
"","113","GetAllGames – Check that all games are returned successfully","","Sun Mar 08 16:05:59 UTC 2026","passed","Sun Mar 08 16:05:59 UTC 2026","","GetAllGames - Check possibility to get all games","com.ai.tester.getAllGames.GetAllGamesComponentTest","getAllVideoGamesPositiveTest"
