"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","145","DeleteEvenGames – Even ID games are deleted and odd ID games remain in database","","Sun Mar 08 15:31:24 UTC 2026","passed","Sun Mar 08 15:31:25 UTC 2026","","DeleteEvenGames - Delete all even games from database","com.ai.tester.deleteEvenGames.DeleteEvenVideoGamesComponentTest","deleteEvenVideoGamesPositiveTest"
"","102","GetAllGames – Check that all games are returned successfully","","Sun Mar 08 15:31:25 UTC 2026","passed","Sun Mar 08 15:31:25 UTC 2026","","GetAllGames - Check possibility to get all games","com.ai.tester.getAllGames.GetAllGamesComponentTest","getAllVideoGamesPositiveTest"
"","103","GetVideoGameById – Successful response returns HTTP 200","","Sun Mar 08 15:31:25 UTC 2026","passed","Sun Mar 08 15:31:25 UTC 2026","","GetVideoGameById - Check possibility to get a single video game","com.ai.tester.getVideoGameById.GetVideoGameByIdComponentTest","getVideoGameByIdPositiveTest"
"","96","GetVideoGameById – Response is valid XML when Accept: application/xml","","Sun Mar 08 15:31:25 UTC 2026","passed","Sun Mar 08 15:31:25 UTC 2026","","GetVideoGameById - Check possibility to get a single video game","com.ai.tester.getVideoGameById.GetVideoGameByIdComponentTest","getVideoGameByIdXmlResponseTest"
"","238","DeleteVideoGame – DB record is absent from GET all games list after deletion","","Sun Mar 08 15:31:24 UTC 2026","passed","Sun Mar 08 15:31:24 UTC 2026","","DeleteVideoGame – Check possibility to delete a game by ID","com.ai.tester.deleteVideoGame.DeleteVideoGameComponentTest","deletedVideoGameAbsentFromGetAllGamesTest"
"","190","GetAllGames – Response is valid XML when Accept: application/xml","","Sun Mar 08 15:31:25 UTC 2026","passed","Sun Mar 08 15:31:25 UTC 2026","","GetAllGames - Check possibility to get all games","com.ai.tester.getAllGames.GetAllGamesComponentTest","getAllVideoGamesXmlResponseTest"
"","2324","DeleteVideoGame – Happy path delete existing game returns 200 and success JSON body","","Sun Mar 08 15:31:22 UTC 2026","passed","Sun Mar 08 15:31:24 UTC 2026","","DeleteVideoGame – Check possibility to delete a game by ID","com.ai.tester.deleteVideoGame.DeleteVideoGameComponentTest","deleteExistingVideoGamePositiveTest"
