"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96","GetVideoGameById – Response is valid XML when Accept: application/xml","","Mon Mar 09 20:14:20 UTC 2026","passed","Mon Mar 09 20:14:20 UTC 2026","","GetVideoGameById - Check possibility to get a single video game","com.ai.tester.getVideoGameById.GetVideoGameByIdComponentTest","getVideoGameByIdXmlResponseTest"
"","201","GetAllGames – Response is valid XML when Accept: application/xml","","Mon Mar 09 20:14:20 UTC 2026","passed","Mon Mar 09 20:14:20 UTC 2026","","GetAllGames - Check possibility to get all games","com.ai.tester.getAllGames.GetAllGamesComponentTest","getAllVideoGamesXmlResponseTest"
"","107","GetVideoGameById – Successful response returns HTTP 200","","Mon Mar 09 20:14:20 UTC 2026","passed","Mon Mar 09 20:14:20 UTC 2026","","GetVideoGameById - Check possibility to get a single video game","com.ai.tester.getVideoGameById.GetVideoGameByIdComponentTest","getVideoGameByIdPositiveTest"
"","2313","DeleteVideoGame – Happy path delete existing game returns 200 and success JSON body","","Mon Mar 09 20:14:17 UTC 2026","passed","Mon Mar 09 20:14:19 UTC 2026","","DeleteVideoGame – Check possibility to delete a game by ID","com.ai.tester.deleteVideoGame.DeleteVideoGameComponentTest","deleteExistingVideoGamePositiveTest"
"","143","DeleteEvenGames – Even ID games are deleted and odd ID games remain in database","","Mon Mar 09 20:14:20 UTC 2026","passed","Mon Mar 09 20:14:20 UTC 2026","","DeleteEvenGames - Delete all even games from database","com.ai.tester.deleteEvenGames.DeleteEvenVideoGamesComponentTest","deleteEvenVideoGamesPositiveTest"
"","234","DeleteVideoGame – DB record is absent from GET all games list after deletion","","Mon Mar 09 20:14:19 UTC 2026","passed","Mon Mar 09 20:14:20 UTC 2026","","DeleteVideoGame – Check possibility to delete a game by ID","com.ai.tester.deleteVideoGame.DeleteVideoGameComponentTest","deletedVideoGameAbsentFromGetAllGamesTest"
"","104","GetAllGames – Check that all games are returned successfully","","Mon Mar 09 20:14:20 UTC 2026","passed","Mon Mar 09 20:14:20 UTC 2026","","GetAllGames - Check possibility to get all games","com.ai.tester.getAllGames.GetAllGamesComponentTest","getAllVideoGamesPositiveTest"
